Input,Response,Bleu-1,Rouge-1
Which treatments could I receive?,There are many treatment options for you.,0.75,0.26
Where should I look for a therapy group?,You can find many therapies online.,0.43,0.11
Describe mental health.,I am an experienced professional who has worked for many years as a psychiatrist.,0.07,0.0
What could I do if a friend or family member has my concern?,You can talk about your concerns directly with them.,0.4,0.2
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.",This bot will help you understand what your user wants.,0.45,0.07
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.",You are right about this.  We have no idea what caused your depression.,0.2,0.05
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.",This bot will provide you with information about your partner's current treatment plan.,0.36,0.16
Make this,Yes,0.0,0.0
"My finnal exam near, bt my mentall helth is geting wors. Any advise?",I am sorry for your worry but you are right that there will be no exams this year.,0.68,0.08
Who do mental illnes afect?,I don't know,0.0,0.0
Wh tretment option are abailable?,Yes,0.0,0.0
