Input;Response;Bleu-1;Rouge-1;;;;;;;;;Input,Response,Bleu-1,Rouge-1;;
What is mental health?;Psychosis is often associated with mental illness, especially in the context of family members being diagnosed as having mental health problems. While mental illness does not necessarily always manifest itself in everyday actions such as suicide, mental illness usually manifests itself as a symptom, including depression, anxiety, or mood swings. Depression usually manifests itself through substance abuse, substance use, or other behavior that may not be helpful to yourself, such as the taking of or access to prescription drugs. Although some mental illness may appear at first to be self-inflicted, such as a mental health episode triggered by an episode of alcohol, it may soon develop into a mental illness that affects everyone else, including family members. For example, depression may be triggered by an episode of bulimia or anxiety, or by an episode of stress. An episode of anxiety may result in mental illness in the family, in particular if the illness is triggered by an episode of psychosis. A psychotic episode may even include a feeling of psychosis or a mental illness that is triggered by the symptoms of a psychotic episode, as described by a clinical psychologist. Many factors that may contribute to psychotic illness are complex, including: emotional, physical, social, and psychological problems. Psychological symptoms, such as panic attacks and hallucinations, may also trigger psychosis. Anorexia nervosa, or bulimia, may also be triggered by an episode of a psychotic episode. Anorexia may even lead to suicide,itzvivisection, or anorexia. If an episode of anorexia is associated with an underlying psychosis, mental health professionals should seek professional help in order to learn more about the disorder and to help the family recover from the illness. If the episode does not have the usual underlying psychiatric conditions, such as schizophrenia, depression, and substance abuse, treatment strategies may be helpful.””;0.03;0.04;;;;;;;;;Frequent bouts of anger and depression, especially if you have depression;;
What should I do if I am worried about a friend or relative?;Go check out the advice of a mental health expert. If you do not have the expert, try reading online books or read reviews of existing books by the experts and asking questions. Listen to a trusted authority figure who can answer questions related to mental health. Be sure to ask him questions like these about mental illness by reading his or her books. If the expert does not know the answer to a question, it truthfully says it does not know.;0.04;0.06;;;;;;;;;Depression by definition is not something the standard diagnostic test. Even a small amount of alcohol or nicotine can be harmful if it causes your depression. There is no need to get too attached to others.;;
Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.;I would rather avoid things that are being said than what is actually going on in your life or your relationship. A lot of times these things have no relationship with any of the things that have happened. I think it is fair to ask for some info and guidance on what to do when something genuinely upsets you. You should not be asking for anything without looking at it in context. Even if it may not be the same thing, if you are uncomfortable with it, ask yourself if it is worth the risk. Some examples of situations I know of where you might consider asking questions to a trusted friend/relative: a doctor is a trusted friend who will have a conversation with you about your health and treatment, but you probably will not have much experience with a patient or the doctor for that matter. They may be able to work out some things about your body and what your symptoms are, but you should do not expect these things. Also, you should ask for some sort of referral or professional referral that will help with your relationship. They should also be able to help you decide on a plan of care if it does not seem appropriate for your family or if the doctor will be able to handle the matter. Even if you can say no to a request, it still may not make you feel better about yourself or others. Also, it is not right to offer your partner the option of a prescription of laxatives, so it is best to say no when talking to him.;0.21;0.25;;;;;;;;;Do not get the impression that you are alone or struggling with mental health. You need to work on your problem and not worry that your problems will get worse if you do not talk to others.;;
I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.;If you think your girlfriend may be getting angry, then your girlfriend might be annoyed with you and are going to make you angry. There is nothing wrong with wanting something that feels good to you or to her, but what do you do when she has already been there before? Let her know that she is not the only one who is angry at you for being rude, stupid, or disrespectful. She might find it difficult to stop herself from making her feelings known to others, so just be honest and say that you will not force her to brush her teeth after that, or you could go ahead and try and force her to brush them again in the future. Do not tell her that you are annoyed about it and that she needs to calm down, or that you are just taking advantage of her discomfort and do not feel shame at her. Just be honest and say that she has got a lot to learn and that this is a difficult situation to handle. That she has not yet realized how much she wants to learn and is struggling in her head. Do not try to force her to brush them but be honest with yourself about your disappointment and disappointment. If she does not brush her teeth in weeks, you will see her as someone who needs to do more to find an outlet and become active in her life. She has the potential to change the way she thinks and feels, and will be happier, healthier, and more connected to you. If her teeth do not get brushed, she may be extremely upset with you and might go into panic mode.;0.16;0.25;;;;;;;;;"Psych Support Groups are for people with schizophrenia, amitriptyline B (also known as buprenorphine), bipolar disorder, or other psychiatric conditions that may affect your mental health. Many people with schizophrenia and bipolar disorder do not get treatment. Treatment is usually done in groups where all symptoms are monitored."",0.08,0.14";;
Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.;"My friend of 10 years has been addicted to opioids for almost 2 years now, and when he was admitted last night he did not even know how to manage the pain. He is going through a lot of withdrawals with Xanax. Xanax is not an opioid; it is a substance that he suffers from. This is not an attempt to get him to take medication; it is a habit he developed over time, and he will still use it. I have been helping him. I know he wants to have a relationship with us now, he just is too scared. It is not something that I can relate to. His response to me is ""you got what you need"" and ""you have your medicine"" and ""how do you manage it""? I have talked to him privately about this, I do not want to hear them tell him anything negative. I do not want to be the one to hurt him, this was not a simple question to ask. His answer to me is ""you need to help yourself and yourself alone"" and his response is ""I know you got what you need"". I do not want him to have to choose between my comfort zone, his health, and our future.";0.13;0.21;;;;;;;;;;;
I have a final exam soon but I have mental health problems. What should I do?;You are only 22years old. The entire Exam is over and you will be taking the next one at 22. So let me just say that this is a very special day and I really want to thank you all for everything you have done. We all know you are going to be extremely busy at the end of the day with the exams, but this is your chance to finally get some tips on how to help yourself as best as possible and get your mental health treated as a priority. You know you have been through some tough times but if you have been honest with yourself it seems that everything you have been through over the years has been really good. You are going to be working harder and harder but you will also be showing great resilience, selflessness and compassion for others. You will also be feeling a lot better in your relationships with people you know, which will help you in the long run. Keep an open mind on your relationships and make sure you are doing things you can do to help your situation, and do not get frustrated. You will be able to do whatever you need to do for the future. Even if you do not get to the end of the exam you will still be there for the people to see. That is all. Thank you so much for the support and you are going to be so proud of you. Now, in the end you will have to decide what to do next in terms of what to do, how to do it and where to go for the rest of your life. Thank you. You will also be able to hear from other people on your journey. I know you have been through some tough times but let me just say that the past year or so has not been a bad one either. There will be times you will get angry, lose interest in your hobbies, and end up on an empty stomach or on the phone with a doctor. There will be times you will feel overwhelmed and want someone else to take care of you but these days you are still the people you would like to be with, and they still need you to be with. You will also see how much you have grown from the moment you left school and how much you have made in your life since.;0.37;0.4;;;;;;;;;"What is mental health?,""Psychosis is often associated with mental illness, especially in the context of family members being diagnosed as having mental health problems. While mental illness does not necessarily always manifest itself in everyday actions such as suicide, mental illness usually manifests itself as a symptom, including depression, anxiety, or mood swings. Depression usually manifests itself through substance abuse, substance use, or other behavior that may not be helpful to yourself, such as the taking of or access to prescription drugs. Although some mental illness may appear at first to be self-inflicted, such as a mental health episode triggered by an episode of alcohol, it may soon develop into a mental illness that affects everyone else, including family members. For example, depression may be triggered by an episode of bulimia or anxiety, or by an episode of stress. An episode of anxiety may result in mental illness in the family, in particular if the illness is triggered by an episode of psychosis. A psychotic episode may even include a feeling of psychosis or a mental illness that is triggered by the symptoms of a psychotic episode, as described by a clinical psychologist. Many factors that may contribute to psychotic illness are complex, including: emotional, physical, social, and psychological problems. Psychological symptoms, such as panic attacks and hallucinations, may also trigger psychosis. Anorexia nervosa, or bulimia, may also be triggered by an episode of a psychotic episode. Anorexia may even lead to suicide,itzvivisection, or anorexia. If an episode of anorexia is associated with an underlying psychosis, mental health professionals should seek professional help in order to learn more about the disorder and to help the family recover from the illness. If the episode does not have the usual underlying psychiatric conditions, such as schizophrenia, depression, and substance abuse, treatment strategies may be helpful.””"",0.03,0.04";;
Which types of people are affected from a mental disorder?;People with Fenner/Fenner's Syndrome are people with a similar mental illness as us (Fenner). They are usually older (i.e. 20) or black. They are generally self-diagnosed as having a specific mental illness, or as having mental illnesses related to depression. Often it is only in families where the person with mental illness is more identified as being at risk of getting in trouble or getting into trouble, as opposed to people of similar physical or mental disability. People with other forms of mental illness do not experience the same symptoms of a mental disorder, such as hallucinations or delusions.;0.45;0.29;;;;;;;;;;;
Which treatments could I receive?;I am sorry if the title of this post might not seem obvious, but I am going to talk about anxiety and depression as two very different problems. I am a graduate student in the psychology department at Northwestern University, and the following is a conversation with a research psychologist. Basically I am trying to get help for my anxiety. One of the primary things I would like to ask is:;;;;;;;;;;;"What should I do if I am worried about a friend or relative?,""Go check out the advice of a mental health expert. If you do not have the expert, try reading online books or read reviews of existing books by the experts and asking questions. Listen to a trusted authority figure who can answer questions related to mental health. Be sure to ask him questions like these about mental illness by reading his or her books. If the expert does not know the answer to a question, it truthfully says it does not know."",0.04,0.06";;
Does anyone else experience anxiety with medications that may be helpful for you? And if so; what is the relationship between those medications and your symptoms? Do you have any experience with the medication they are prescribed? Do you know if these medications are effective in controlling anxiety or not? Is the medication itself safe and effective for you? Does it have any side effects? Do you have any advice for the general public? I just want to know how to help if the advice I have given is not working. I just want to know what to do about it. Also; I would like to ask a question: is this only the beginning of a conversation with a person that genuinely cares about me? I just wanted to make sure you understand that I am not just talking about anxiety and depression; my depression is not merely an issue that can be treated; but a real issue that is affecting people around me    It is incredibly difficult to be active with my partner; my parents; and my friends. There is no doubt that this is a very complex issue and I have researched and researched a lot of different treatment options. I would love to hear your thoughts and experiences; and how you would best help me. Also; you are an amazing person with so much potential;" and I hope that this post helps anyone struggling with anxiety or depression.""";0.08;0.14;;;
Where should I look for a therapy group?;For those of you who live in the US, there are two existing groups of therapists. One (CSE) is a non-profit group that offers a specialized area of expertise in treating mental illness, like mental health and addiction. They focus on people with an eating disorder and depression. The other (NCHS) is a group that provides non-profit support and resources. They specialize in helping individuals struggling with eating disorders. N Teacher and N Psychiatrist also specialize in mental health issues related to eating disorders and substance use disorders. Both groups have a focus on support for those with disorders.;0.2;0.24;;;;;;;;;"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.,""I would rather avoid things that are being said than what is actually going on in your life or your relationship. A lot of times these things have no relationship with any of the things that have happened. I think it is fair to ask for some info and guidance on what to do when something genuinely upsets you. You should not be asking for anything without looking at it in context. Even if it may not be the same thing, if you are uncomfortable with it, ask yourself if it is worth the risk. Some examples of situations I know of where you might consider asking questions to a trusted friend/relative: a doctor is a trusted friend who will have a conversation with you about your health and treatment, but you probably will not have much experience with a patient or the doctor for that matter. They may be able to work out some things about your body and what your symptoms are, but you should do not expect these things. Also, you should ask for some sort of referral or professional referral that will help with your relationship. They should also be able to help you decide on a plan of care if it does not seem appropriate for your family or if the doctor will be able to handle the matter. Even if you can say no to a request, it still may not make you feel better about yourself or others. Also, it is not right to offer your partner the option of a prescription of laxatives, so it is best to say no when talking to him."",0.21,0.25";;
Describe mental health.;my depression and anxiety go back and forth over time with me but I just really want to say that I have developed a very strong relationship with my mental health. I am not a psychiatrist or anything like that because there are a lot of things that go into diagnosing mental illness and I would like to give you some background to help explain these things a little bit. I am not a manic person like some of the people have suggested (and I do not think I am alone in this), and the things that I think are in my head have become quite severe (I have recently seen some really bad episodes, even though there is still a few that I do not understand) and there is something that I feel like a complete freak and that I cannot handle. I am really struggling with my self esteem and I need a way to express myself without fear of what my symptoms could be or being perceived. I have had a long term relapse that I am currently dealing with that I will not stop doing to myself. I feel like this is the case for me as well because in general I am quite anxious and angry and can feel myself start crying and not be able to concentrate because my anxiety keeps me from being able to concentrate. I do not really understand how my mood works and I get anxious when I think it does not work, even though I am not in therapy. I often find myself thinking that the reason I am anxious is because of my anxiety, i.e. my anxiety makes me anxious. But in reality, I am just being really anxious that people will notice if I am anxious because I will be taking a bath or something and I cannot help feeling like a freak. I feel like I am literally in complete control and nothing is coming back to normal. That is why I have been struggling with depression for a long time now. It is not a bad thing though. I feel like it makes me feel completely alone and not really able to deal with anything or anything at all. My anxiety is not because I am feeling anxious but because I feel so bad. I feel like it is not good enough for me to be around people that feel so bad and try to put me down if they see me as being isolated and just a random freak. If I have been experiencing this, I would like to be able to say some things and say that my life is not in great shape and that I just need to get better at dealing with these things. The more I have been doing this for longer than I can even begin to explain it, the more anxious I get.;0.02;0.03;;;;;;;;;;;
What could I do if a friend or family member has my concern?;My biggest fear is if you ever see a therapist that isn't very supportive or a counselor that might actually give you an unrealistic view of what the boundaries are.;0.03;0.0;;;;;;;;;"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.,""If you think your girlfriend may be getting angry, then your girlfriend might be annoyed with you and are going to make you angry. There is nothing wrong with wanting something that feels good to you or to her, but what do you do when she has already been there before? Let her know that she is not the only one who is angry at you for being rude, stupid, or disrespectful. She might find it difficult to stop herself from making her feelings known to others, so just be honest and say that you will not force her to brush her teeth after that, or you could go ahead and try and force her to brush them again in the future. Do not tell her that you are annoyed about it and that she needs to calm down, or that you are just taking advantage of her discomfort and do not feel shame at her. Just be honest and say that she has got a lot to learn and that this is a difficult situation to handle. That she has not yet realized how much she wants to learn and is struggling in her head. Do not try to force her to brush them but be honest with yourself about your disappointment and disappointment. If she does not brush her teeth in weeks, you will see her as someone who needs to do more to find an outlet and become active in her life. She has the potential to change the way she thinks and feels, and will be happier, healthier, and more connected to you. If her teeth do not get brushed, she may be extremely upset with you and might go into panic mode."",0.16,0.25";;
Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.;I am sorry for my lack of clarity on this. I have been on a diet (and I think a lot of people on this site are just not familiar with the terms, and I want to make sure everyone understands that I do not do this every day, because I want to make sure my partners understand) for quite a while. Over time, my partner has developed a lot of body fat, and I have been eating a bit less and I have not been cutting back in volume, even if it helps with the discomfort. As you can imagine, that feels pretty crappy when I am not eating. It is not the same, and I am thankful for it and am grateful I know he knows about it.;0.33;0.3;;;;;;;;;;;
How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.;A lot of things go down in life. There are no words to describe it. So try to get rid of the negative emotions, the bad experiences, or the doubts. There is no wrong way. The only way to help your girlfriend is to understand your feelings. There are many positive ways to go about your life. I recommend trying to understand them, as much as you can.;0.29;0.24;;;;;;;;;"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.,""My friend of 10 years has been addicted to opioids for almost 2 years now, and when he was admitted last night he did not even know how to manage the pain. He is going through a lot of withdrawals with Xanax. Xanax is not an opioid"; it is a substance that he suffers from. This is not an attempt to get him to take medication;" it is a habit he developed over time, and he will still use it. I have been helping him. I know he wants to have a relationship with us now, he just is too scared. It is not something that I can relate to. His response to me is """"you got what you need"""" and """"you have your medicine"""" and """"how do you manage it""""? I have talked to him privately about this, I do not want to hear them tell him anything negative. I do not want to be the one to hurt him, this was not a simple question to ask. His answer to me is """"you need to help yourself and yourself alone"""" and his response is """"I know you got what you need"""". I do not want him to have to choose between my comfort zone, his health, and our future."",0.13,0.21"
Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.;Not sure if you should go to rehab or buy a drug test kit. I have been having a lot of problems lately. As an ex I have had hallucinations when I walk into the facility. I was in a mental health facility for 10 years but never saw anything like this. It is not common for me to see hallucinations when I walk into the facility. That is to say, I have no idea where to go. If you know of anything, you should check it out. It is nice to have your doctor talk with you about your mental health, to see if it is worth the time to go. Also, I am a nurse who does not take a lot of Xanax. It is not an overdose so you do not have to overdose. Also, some people will go with a prescribed meds or a lot of other medications. Also, if you have any doubts that are not the case, talk to a licensed mental health nurse before you go. Her experience with opioids is anecdotal.;0.12;0.17;;;;;;;;;;;
