Input,Response,Bleu-1,Rouge-1
Describe mental health.,I am an adult who has been diagnosed as having bipolar disorder for over 10 years now (and I have had depression since childhood). It was my first diagnosis of this type when i started getting depressed after being bullied at school because they were so stupid that their parents would never let them go back into class anymore or even get outdoors without permission from me. (i didnt want anyone else going),0.05,0.07
What could I do if a friend or family member has my concern?,I am so sorry for your loss but you are still alive!,0.08,0.06
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.",I am sorry you are feeling like your relationship was broken but please do NOT tell anyone who knows what they need because there may be some people out here right now (or at least someone close) willing help,0.29,0.16
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.",I am sorry you are feeling this way...but please be aware of your emotions because they may change overtime,0.3,0.11
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.",I would suggest you go see your GP or psychiatrist first if this sounds like something serious,0.24,0.12
Make this,I am so sorry for your loss I have been through similar things before but you are my hero,0.11,0.2
How can I improve my studying skills?,I have been doing this for about 3 years now (and still do) but you will notice that your attention span has improved significantly over time as well!,0.06,0.1
Should I study computer engineering?,I do NOT want you studying this stuff because of your personality type (i think) but if that makes any difference then go ahead,0.08,0.17
I cannot afford a new laptop,If you are going for an investment then I would suggest buying one of these laptops that have been around since 2000 or so,0.08,0.11
Thinking in changing my look. Any advice?,I am so sorry for your loss but I have been through this before too,0.07,0.15
"My finnal exam near, bt my mentall helth is geting wors. Any advise?",I am so sorry for your loss but I will be there when you are ready,0.75,0.07
Who do mental illnes afect?,I am an addict who has been for over 10 years now I have had depression since childhood but never really thought about that until recently when my parents died of cancer so i was forced into therapy because they were very strict on me at home,0.13,0.08
Wh tretment option are abailable?,I am an addict who has been for over 10 years now I have had depression since my teens but i was able through therapy that helped me get out of this cycle so far,0.06,0.05
