Input,Response,Bleu-1,Rouge-1
Which types of people are affected from a mental disorder?,"People who have been diagnosed as having an eating problem or substance abuse issue

Bot :",0.25,0.04
Which treatments could I receive?,"If you are taking any medication that can cause side effects or have an effect on your mood then this will be something for consideration. 
(I am talking about meds like benzodiazepines)",0.17,0.14
Where should I look for a therapy group?,There are many different therapies that can help you deal or improve your symptoms of depression and/or anxiety.  You may find some helpful here on this site,0.33,0.29
Describe mental health.,I am an addict who has been for over 10 years now I have had depression since my teens but this time was more severe than ever before because of covid 19,0.06,0.08
What could I do if a friend or family member has my concern?,If you are concerned about someone else’s well-being please reach out for help as soon possible because this can be devastating.,0.14,0.14
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.",I am just curious as well...,0.56,0.03
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.",I am sure you are going through this right now! It may be hard at times because of your anxiety about what people think (and even worse when they say something like “you have no idea”) But try doing things everyday instead just as much,0.12,0.15
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.",I would suggest you go see your GP or psychiatrist first if possible,0.23,0.1
Make this,I am so sorry for your loss but I have been through all of that before too! It was hard on me when you were gone because i had no idea what my life would be like without u guys around!! But now its time we are together again :),0.04,0.13
"My finnal exam near, bt my mentall helth is geting wors. Any advise?",I am going through this process of transition from high school (in college) back into life after graduation,0.3,0.04
Who do mental illnes afect?,I am an addict who has been for over 10 years now I have had depression since childhood but this time was more severe than before because of my addiction,0.2,0.06
Wh tretment option are abailable?,I am an addict who has been for over 10 years now I have had depression since my first diagnosis of cancer but that was before i started taking medication,0.07,0.06
