Input,Response,Bleu-1,Rouge-1
Which types of people are affected from a mental disorder?,"People who have a mental illness can be anyone. It can affect anyone at any age. People who have a mental illness may experience symptoms such as depression, anxiety, or psychosis.",0.69,0.18
Which treatments could I receive?,There are many different types of treatment that can help you recover from an eating disorder. Some people find that they need more than one type of treatment to get better. You may be able to get some help through your local community centre or other agencies. Your GP may refer you to a psychiatrist who specialises in eating disorders. A psychiatrist will usually prescribe medication for you if needed. They may also suggest counselling or group therapy.,0.18,0.24
Where should I look for a therapy group?,"Therapy groups are an excellent way to meet other people who have similar experiences and challenges as you do. They can be helpful when you need someone to talk to about your feelings or problems, or if you want to learn more about mental illnesses and how to cope with them.",0.2,0.16
Describe mental health.,"Mental illness is a condition that affects your thoughts, feelings, behaviors or all three. It can be caused by things like trauma, genetics, stress, or other factors. Mental illnesses are very common. In fact, one out of four people will experience some type of mental illness at least once in their lifetime.",0.15,0.18
What could I do if a friend or family member has my concern?,"If you are worried about your friend or family member, call them and check in on them regularly. You can also reach out to your local crisis line for help.",0.18,0.16
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.","I would say yes, but be careful what you say. You can say something like “it sounds like you are doing some really hard workouts and I am just wondering if you have noticed any changes in your body composition”.",0.28,0.14
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.","I would just say something like ""hey, your teeth are really bad, you should brush them"". It is not rude at all, and it is not judgemental either.",0.4,0.2
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.",I would go to your local hospital or clinic and ask if they could send you a urine sample. They will be able to tell you exactly what kind of drugs are in there.,0.28,0.19
Make this,I am asking for your help to make my life better. I have been diagnosed with depression and anxiety disorder. I do not want to be depressed anymore. I want to live a happy life. I want to enjoy every moment of my life. I want to love myself more. I want to be healthy. I want to be strong. I want to be happy. I want to be free from all these problems. I want to be able to smile again. I want to feel good about myself. I want to be able to laugh without feeling like I am going to cry. I want to be able to enjoy my life. I want to be able to do things that I used to enjoy doing. I want to be able to go out and meet people. I want to be able to talk to people. I want to be able to have fun. I want to be able to do things that I used to enjoy doing. I want to be able to do things that I used to enjoy doing. I want to be able to do things that I used to enjoy doing. I want to be able to do things that I used to enjoy doing. I want to be able to do things that I used to enjoy doing. I want to be able to do,0.02,0.02
"My finnal exam near, bt my mentall helth is geting wors. Any advise?",I am so sorry you are feeling this way right now. I hope that your exams go well and that you can focus on getting better soon!,0.59,0.09
Who do mental illnes afect?,"Mental illnesses affect people of all ages, genders, ethnicities, sexual orientations, religions, abilities, and socioeconomic backgrounds. Mental illness can be caused by genetic factors or environmental influences such as trauma, abuse, or poor parenting. Some common mental illnesses include depression, anxiety disorders, schizophrenia, bipolar disorder, eating disorders, and personality disorders.",0.62,0.21
Wh tretment option are abailable?,"There are many different treatment options available for people who have depression or anxiety disorders. These include medications, psychotherapy, cognitive behavioural therapy (CBT), mindfulness-based therapies, group therapy, and more.",0.32,0.29
