Input,Response,Bleu-1,Rouge-1
Which types of people are affected from a mental disorder?,"Females (16-20 years old) are most affected by anorexia and bulimia, which include bulimia nervosa and bulimia dysmorphia (BDD). In addition, females are most affected by bulimia.",0.35,0.07
Which treatments could I receive?,"I recommend DBT to patients who have a history of EDs. DBT includes the DBT (Dose Dependency Test) and a combination of medications. The DBT is used for the first two weeks of treatment, during which time patients receive medication and continue on a program of daily activities.",0.19,0.14
Where should I look for a therapy group?,groups are great in helping you learn about treatment and recovery techniques,0.42,0.17
Describe mental health.,"If my parents are in my life, and I get out of it, I might be able to figure out what is wrong, unprotected or underearning my right to be free. I am so confused. Does anyone have this same thing or some idea? I am just curious",0.13,0.12
What could I do if a friend or family member has my concern?,"You could be doing a medical crisis, or call 911 and call 911 right away. Call a mental health expert right now and ask for more information. There are many ways you could take care of yourself. I will be in touch with an addiction specialist that is trying to find the best place for you to take care of yourself. The best way to go about it is by learning the signs of an addiction before they decide they are going to help you. You can always go to a local rehab facility to learn more. There is also a website for people to sign up for if they have concerns about addiction.",0.05,0.06
"Is it appropriate to request that my partner refrain from bringing up calories? My partner has been upping the volume, frequency, and other aspects of his training. He has mentioned how many calories he expended according to his app or whatever he uses to schedule his workouts a few times recently, usually around mealtime. He is aware of my past with eating disorders and has so far shown support. Since talking about calories in front of me is actually triggering, I want to ask him to refrain. Having said that, I'm not sure how to start this conversation or even if my request is reasonable. TIA for any assistance or counsel.","I do not know what to do with my partner. I love him, I love him so much. I also know how his appetite changes and my partners relationship is not always what I am used to and sometimes get really anxious. The point is, I am not a professional in the traditional sense and you have been asked to be a very gentle and considerate one. Your feelings are valid. I want to learn from your experiences in making sure you are understanding that there is a lot of advice out there, but I am also just wondering, is there an actual way to do that if we really had to? Does it really matter? Also, is it possible to encourage your partner to take it seriously?",0.39,0.37
"How should I approach my depressed girlfriend? I need advice. Tonight is the first time I've seen her in a few days. When I last saw her, I observed that her teeth were so filthy that there was actual buildup on them. She is my girlfriend, so it goes without saying that she will want to kiss me, but I seriously doubt she has kissed them afterwards. If that's the case, how can I tell her if she hasn't washed her teeth in days that I don't want to kiss her? While I must establish my own boundaries for hygiene, I do not want to hurt her feelings or make her feel terrible or criticized.","The only thing I am going to tell her is how nice she is, what she likes about herself, what she is capable of doing for you, etc. She is the one who will give you advice in return for the compliment and your own. For example, she probably wants to see a doctor and a Pepe mexican, but they do not allow her to get her private trainer for mexican. Her dentist got her to go to the hospital and she was just so disappointed when the doctor was there. As soon as she left, she was so angry and yelled at the doctor. She even told me about how she had got on the wrong side of the law with her parents. She also said that she feels very embarrassed because she thinks she is beautiful. She even went on to say she is the prettiest girl in the world. She even went on to say that she never drinks or smokes, does not get high or takes a bath, and dresses like she is beautiful. She is actually pretty much the same way she pretends to be.",0.19,0.25
"Partners' drug test kit returned a positive result. I need some guidance. For the past ten years, my spouse has battled addiction. In the past, heroin, opioids, benzos, etc. He currently receives monthly injections of buvidal (buprenorphine) from his physician. I've been doing everything I can to help him. Since the circle of dishonesty is just repeated, I am feeling numb. Trust has been betrayed. For either of us, I am unsure of who to turn to for help. I've been to visits with his doctor since I didn't believe opioids should have an effect while being injected and that taking medicines was useless. I'm at a loss on what to do now. It has worn me out.","There are really just two choices. One is to tell your partner that you need to get some opioids, which would be an understandable decision, if you feel they are harming you. The other is to seek treatment as soon as you are ready to seek them, if you do not feel comfortable giving a referral to the nearest doctor.",0.23,0.18
Make this,"I really do not know what to do this is a little late, because I have already done a couple of stuff to help me in this sense. I recently got out of bed and was about to go do homework when I heard this and my eyes lit up. It turned out that the first thing I need to do is make my way to my favorite music. I tried to read through all of the lyrics on the album, but I was not able to and my eyes burned so hard. I am grateful that I do not want to get into an endless loop or having a pointless conversation about something that is not worth it.",0.04,0.05
"My finnal exam near, bt my mentall helth is geting wors. Any advise?","Just do not do it with the first round of bs. You can tell it to keep on bs and then try to skip it if it is not the worst bs you have, but it is a little better than skipping it. It would definitely be better if you just stayed safe. You are also not the best as a therapist because there is always the possibility you will get stuck in a cycle, the worst bs will always end up happening sooner, the best advice would be to get out of there and stay alive. I know what you are experiencing right now and I hope you feel better.",0.58,0.3
Who do mental illnes afect?,A young woman. A young man.,0.38,0.03
Wh tretment option are abailable?,Abdominal pain. This is common in men. I believe it is a symptom of anorexia.,0.28,0.11
